REFCODE;Formula;SymMol;Cryst_spgr;Spgr_N;C_x;C_y;C_z;Mol_R;Mol_V;Cell_a
ISIDET;B1 C12 H16 N4 S8;-4;F -4 3 c;219;0.5;0.5;0.75;4.6886;431.722;30.0302
ISIDET;B1 C12 H16 N4 S8;-4;F -4 3 c;219;0.75;0.75;1;4.67779;428.743;30.0302
KTMSIO01;C3 H9 O1 Si1;3;F -4 3 c;219;0.604482;0.604482;0.604482;2.38177;56.5948;17.573
KEMLOD01;C16 Co4 O16 Sn1;2 3;F -4 3 c;219;0;0;0;5.61866;742.977;17.301
KEMLOD;C16 Co4 O16 Sn1;2 3;F -4 3 c;219;0;0;0;5.56786;723.005;17.255
XIFDAR01;C12 F4 Ga4 H36 K4;2 3;F -4 3 c;219;0.5;0.5;0.5;5.82473;827.76;17.76
KTMSIO02;C12 H36 K4 O4 Si4;2 3;F -4 3 c;219;0.75;0.75;0.75;5.80808;820.681;17.6225
ZAXSIE;Br4 Si1;-4 3 m;F -4 3 c;219;0.5;0.5;1;2.14275;41.2087;17.5378
ZAXSIE;Cl12 Si5;2 3;F -4 3 c;219;0.75;0.75;0.75;3.59128;194.009;17.5378
ZETFUZ;C72 Cd8 Cl4 S13;2 3;F -4 3 c;219;0;0;0;7.71867;1926.21;27.597
ZETFUZ;Cd1 O6;m -3 m;F -4 3 c;219;0.25;0.25;0.25;2.19948;44.5694;27.597
VAGCUE;C72 Cd1 H96 N8 O8 Se4;-4;F -4 3 c;219;0;0;0.25;8.19925;2308.87;39.4115
VAGCUE;Cl1 O4;3 m;F -4 3 c;219;0.122298;0.122298;0.122298;1.20167;7.26828;39.4115
VAGCUE;Cl1 O4;-4 3 m;F -4 3 c;219;0.5;0;0;1.35365;10.3895;39.4115
KEHVEA;C84 H48 Ni8 O112 P16 U12;2 3;F -4 3 c;219;0.5;0.5;0;11.5185;6401.21;36.38
